,Model Year,Make,Model,Vehicle Class,full PRICE (w/o tax),Engine Size (L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Highway (L/100 km),CO2 Emissions (g/km),CO2 Rating,Fuel CostPerYear,yearly_lease_price,yearly cost,Car,Combined (L/100 km)
144,2020,Mazda,Mazda6 Turbo,Mid-size,39150,2.5,4,X,10,7.5,208,6,2314,6403.56,8717.56,Mazda Mazda6 Turbo,8.875
145,2020,Mercedes-Benz,AMG C 43 4MATIC,Compact,63400,3,6,Z,12.4,8.7,253,4,3103,9392.52,12495.52,Mercedes-Benz AMG C 43 4MATIC,10.735
146,2020,Mercedes-Benz,AMG C 43 4MATIC Cabriolet,Compact,72500,3,6,Z,12.7,9.2,263,4,3248,10740.72,13988.72,Mercedes-Benz AMG C 43 4MATIC Cabriolet,11.125
147,2020,Mercedes-Benz,AMG C 43 4MATIC Coupe,Compact,63400,3,6,Z,12.9,8.8,255,4,3219,9392.52,12611.52,Mercedes-Benz AMG C 43 4MATIC Coupe,11.055
148,2020,Mercedes-Benz,AMG C 43 4MATIC Wagon,Compact,60900,3,6,Z,12.4,8.9,255,4,3132,8935.44,12067.44,Mercedes-Benz AMG C 43 4MATIC Wagon,10.825
149,2020,Mercedes-Benz,AMG C 63,Compact,76900,4,8,Z,13.2,8.7,263,4,3248,12230.76,15478.76,Mercedes-Benz AMG C 63,11.175
150,2020,Mercedes-Benz,C 300 4MATIC,Compact,46400,2,4,Z,11,7.3,219,5,2726,6201.24,8927.24,Mercedes-Benz C 300 4MATIC,9.335
151,2020,Mercedes-Benz,C 300 4MATIC Cabriolet,Compact,58200,2,4,Z,11.3,8.1,231,5,2871,8622.24,11493.24,Mercedes-Benz C 300 4MATIC Cabriolet,9.86
152,2020,Mercedes-Benz,C 300 4MATIC Coupe,Compact,50100,2,4,Z,10.9,7.7,221,5,2755,7422.24,10177.24,Mercedes-Benz C 300 4MATIC Coupe,9.46
153,2020,Mercedes-Benz,C 300 4MATIC Wagon,Compact,47700,2,4,Z,10.9,7.7,221,5,2755,6998.76,9753.76,Mercedes-Benz C 300 4MATIC Wagon,9.46
154,2020,Mercedes-Benz,CLS 450 4MATIC,Compact,82500,3,6,Z,11.3,7.9,213,5,2842,12627.36,15469.36,Mercedes-Benz CLS 450 4MATIC,9.77
155,2020,Mercedes-Benz,E 450 4MATIC Cabriolet,Compact,83000,3,6,Z,12.7,10.1,271,4,3364,12619.68,15983.68,Mercedes-Benz E 450 4MATIC Cabriolet,11.53
156,2020,Mercedes-Benz,E 450 4MATIC Coupe,Compact,75400,3,6,Z,12.5,9.1,257,4,3190,11946.24,15136.24,Mercedes-Benz E 450 4MATIC Coupe,10.97
157,2020,Nissan,Altima AWD,Mid-size,28058,2.5,4,X,9.1,6.5,186,7,2054,4320,6374,Nissan Altima AWD,7.93
158,2020,Nissan,Altima AWD SR/Platinum,Mid-size,35058,2.5,4,X,9.3,6.7,190,6,2106,5280,7386,Nissan Altima AWD SR/Platinum,8.13
159,2020,Nissan,Armada 4WD,SUV,66098,5.6,8,X,17.5,12.9,362,2,4004,9240,13244,Nissan Armada 4WD,15.43
160,2020,Nissan,Kicks,Mid-size,21358,1.6,4,X,7.7,6.6,169,7,1872,2760,4632,Nissan Kicks,7.205
161,2020,Nissan,Maxima,Mid-size,41600,3.5,6,Z,11.6,7.9,233,5,2871,6240,9111,Nissan Maxima,9.935
162,2020,Nissan,Murano,SUV,34958,3.5,6,X,11.7,8.3,240,5,2652,4584,7236,Nissan Murano,10.17
163,2020,Nissan,Murano AWD,SUV,36858,3.5,6,X,11.7,8.5,242,5,2678,5424,8102,Nissan Murano AWD,10.26
164,2020,Nissan,Qashqai,Compact,24878,2,4,X,8.8,7.4,192,6,2652,3492,6144,Nissan Qashqai,8.17
165,2020,Nissan,Qashqai,Compact,23678,2,4,X,10.1,8.2,217,5,2782,3180,5962,Nissan Qashqai,9.245
166,2020,Nissan,Qashqai AWD,Compact,26878,2,4,X,9,7.7,198,6,2860,3696,6556,Nissan Qashqai AWD,8.415
167,2020,Nissan,Pathfinder,SUV,38993,3.5,6,X,11.6,8.5,240,5,2132,6588,8720,Nissan Pathfinder,10.205
168,2020,Nissan,Pathfinder 4WD,SUV,44593,3.5,6,X,12.1,8.9,251,4,2392,7524,9916,Nissan Pathfinder 4WD,10.66
169,2020,Nissan,Pathfinder 4WD Platinum,SUV,46793,3.5,6,X,12.4,9.2,257,4,2184,7848,10032,Nissan Pathfinder 4WD Platinum,10.96
170,2020,Nissan,Rogue,SUV,30458,2.5,4,X,9.1,7.1,192,6,2132,4452,6584,Nissan Rogue,8.2
171,2020,Nissan,Rogue AWD,SUV,32758,2.5,4,X,9.6,7.5,204,6,2262,4728,6990,Nissan Rogue AWD,8.655
172,2020,Nissan,Sentra,Mid-size,20598,2,4,X,8,6,167,7,1846,2616,4462,Nissan Sentra,7.1
173,2020,Nissan,Sentra SR,Mid-size,25798,2,4,X,8.2,6.2,171,7,2080,3504,5584,Nissan Sentra SR,7.3
174,2020,Nissan,Sentra,Mid-size,20598,2,4,X,9.4,6.4,188,6,1898,2616,4514,Nissan Sentra,8.05
175,2020,Subaru,Ascent AWD,SUV,36995,2.4,4,X,11.6,9,244,5,2704,6840,9544,Subaru Ascent AWD,10.43
176,2020,Subaru,Crosstrek AWD Convenience,SUV,25795,2,4,X,8.5,7,185,7,2054,4650.72,6704.72,Subaru Crosstrek AWD Convenience,7.825
177,2020,Subaru,Crosstrek AWD  ,SUV,23795,2,4,X,10.5,8.1,220,5,2444,4396.2,6840.2,Subaru Crosstrek AWD  ,9.42
178,2020,Subaru,Forester AWD,SUV,28995,2.5,4,X,9,7.2,192,6,2132,5861.76,7993.76,Subaru Forester AWD,8.19
179,2020,Subaru,Impreza 4-Door AWD,Mid-size,21995,2,4,X,8.3,6.4,174,7,1950,4160.76,6110.76,Subaru Impreza 4-Door AWD,7.445
180,2020,Subaru,Impreza 4-Door AWD,Mid-size,19995,2,4,X,10.1,7.6,210,5,2340,3943.08,6283.08,Subaru Impreza 4-Door AWD,8.975
181,2020,Subaru,Impreza 5-Door AWD,Compact,22995,2,4,X,8.4,6.6,178,7,1976,4261.2,6237.2,Subaru Impreza 5-Door AWD,7.59
182,2020,Subaru,Impreza 5-Door AWD,Compact,20995,2,4,X,10.1,7.7,211,5,2340,3994.56,6334.56,Subaru Impreza 5-Door AWD,9.02
183,2020,Subaru,Legacy Convenience AWD,SUV,26395,2.4,4,X,9.9,7.3,205,6,2054,5365.68,7419.68,Subaru Legacy Convenience AWD,8.73
184,2020,Subaru,Legacy Touring AWD,SUV,30295,2.5,4,X,8.8,6.7,185,7,2262,6083.16,8345.16,Subaru Legacy Touring AWD,7.855
185,2020,Subaru,Outback Convenience AWD,SUV,30695,2.4,4,X,10.1,7.9,213,5,2132,5620.08,7752.08,Subaru Outback Convenience AWD,9.11
186,2020,Subaru,Outback Touring AWD,SUV,34795,2.5,4,X,9,7.1,192,6,2366,6301.44,8667.44,Subaru Outback Touring AWD,8.145
